track_name,artist_name,preview,artist_genre
Closer (feat. H.E.R.),Saweetie,./data/Closer (feat. H.E.R.),"['cali rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'trap queen']"
Beg For You (feat. Rina Sawayama),Charli XCX,./data/Beg For You (feat. Rina Sawayama),"['art pop', 'candy pop', 'dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'uk pop']"
Trouble (from ‘Three Months’),Troye Sivan,./data/Trouble (from ‘Three Months’),"['australian pop', 'dance pop', 'electropop', 'pop', 'viral pop']"
LAst dAy oN EaRTh,Tai Verdes,./data/LAst dAy oN EaRTh,['modern indie pop']
26,Lauv,./data/26,"['dance pop', 'electropop', 'pop']"
Fast Times,Sabrina Carpenter,./data/Fast Times,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']"
Stay Alive (Prod. SUGA of BTS),Jung Kook,./data/Stay Alive (Prod. SUGA of BTS),[]
Say Nothing (feat. MAY-A),Flume,./data/Say Nothing (feat. MAY-A),"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']"
"bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)",Mura Masa,"./data/bbycakes (with Lil Uzi Vert, PinkPantheress & Shygirl)","['channel islands indie', 'vapor soul']"
thought it was,iann dior,./data/thought it was,"['melodic rap', 'pop rap']"
this is what falling in love feels like,JVKE,./data/this is what falling in love feels like,['modern indie pop']
KEEP IT UP,Rex Orange County,./data/KEEP IT UP,"['bedroom pop', 'pop']"
emo girl (feat. WILLOW),Machine Gun Kelly,./data/emo girl (feat. WILLOW),"['ohio hip hop', 'pop rap']"
ur just horny,GAYLE,./data/ur just horny,['modern alternative pop']
Always Been You,Jessie Murph,./data/Always Been You,"['alt z', 'pop', 'social media pop']"
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,./data/The Joker And The Queen (feat. Taylor Swift),"['pop', 'uk pop']"
Everything But You (feat. A7S),Clean Bandit,./data/Everything But You (feat. A7S),"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']"
MAMIII,Becky G,./data/MAMIII,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']"
Where Did You Go?,Jax Jones,./data/Where Did You Go?,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk dance']"
City of Gods,Fivio Foreign,./data/City of Gods,"['brooklyn drill', 'new york drill', 'rap', 'trap']"
Big Energy,Latto,./data/Big Energy,"['pop', 'pop r&b', 'r&b', 'trap queen']"
Love's Train,Bruno Mars,./data/Love's Train,"['dance pop', 'pop']"
Celebrity Skin,Doja Cat,./data/Celebrity Skin,"['dance pop', 'pop']"
Options (feat. 24kGoldn),Internet Money,./data/Options (feat. 24kGoldn),"['rap', 'trap']"
Sunroof,Nicky Youre,./data/Sunroof,['pop']
"if jesus saves, she's my type",ROLE MODEL,"./data/if jesus saves, she's my type","['alt z', 'bedroom pop', 'indie pop', 'pop']"
AMAZING,Rex Orange County,./data/AMAZING,"['bedroom pop', 'pop']"
Swing & A Miss,Oliver Tree,./data/Swing & A Miss,['alternative hip hop']
Come With Me,Surfaces,./data/Come With Me,"['bedroom soul', 'pop']"
Hate Me If It Helps,Alexander 23,./data/Hate Me If It Helps,"['alt z', 'pop']"
Miserable Man,David Kushner,./data/Miserable Man,"['alt z', 'gen z singer-songwriter']"
Butterflies,Abe Parker,./data/Butterflies,['alt z']
Anyone For You,George Ezra,./data/Anyone For You,"['folk-pop', 'modern rock', 'neo-singer-songwriter', 'pop', 'pop rock']"
Emiliana,CKay,./data/Emiliana,['afro r&b']
Boys Don't Cry,Anitta,./data/Boys Don't Cry,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']"
Don’t Wake Me Up,Jonas Blue,./data/Don’t Wake Me Up,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']"
Fingers Crossed,Lauren Spencer-Smith,./data/Fingers Crossed,"['alt z', 'gen z singer-songwriter', 'pop']"
Fat Funny Friend,Maddie Zahm,./data/Fat Funny Friend,['alt z']
Teenage Mona Lisa,Alfie Castley,./data/Teenage Mona Lisa,[]
killer queen,Mad Tsai,./data/killer queen,"['alt z', 'bedroom pop']"
Polaroid Love,ENHYPEN,./data/Polaroid Love,"['anime', 'k-pop boy group']"
TO THE MOON,Jnr Choi,./data/TO THE MOON,[]
the lifeboat's empty!,Chelsea Cutler,./data/the lifeboat's empty!,"['alt z', 'electropop', 'pop', 'tropical house']"
Jigsaw,Conan Gray,./data/Jigsaw,"['bedroom pop', 'pop']"
WYD Now?,Sadie Jean,./data/WYD Now?,"['alt z', 'pop']"
Notion,The Rare Occasions,./data/Notion,['la indie']
Loser,Sueco,./data/Loser,"['cali rap', 'pop rap']"
Cowboys Don’t Cry,Oliver Tree,./data/Cowboys Don’t Cry,['alternative hip hop']
Long Drives,BoyWithUke,./data/Long Drives,[]
Back To The Future,Bastille,./data/Back To The Future,"['metropopolis', 'modern rock', 'pop', 'pop rock']"
"Yeh I Fuckin' Did It - From ""Euphoria"" An Original HBO Series",Labrinth,"./data/Yeh I Fuckin' Did It - From ""Euphoria"" An Original HBO Series","['indie poptimism', 'pop']"
In Your Arms (For An Angel),Topic,./data/In Your Arms (For An Angel),"['dance pop', 'edm', 'electro house', 'german dance', 'pop dance', 'pop edm', 'tropical house']"
Mujeriego,Ryan Castro,./data/Mujeriego,['trap colombiano']
MIDDLE OF THE NIGHT,Elley Duhé,./data/MIDDLE OF THE NIGHT,"['alt z', 'pop']"
drunk text me,Lexi Jayde,./data/drunk text me,"['alt z', 'social media pop']"
Love It When You Hate Me (feat. blackbear),Avril Lavigne,./data/Love It When You Hate Me (feat. blackbear),"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
GO TO HELL,Clinton Kane,./data/GO TO HELL,"['alt z', 'gen z singer-songwriter', 'pop']"
Perfect,Ali Gatie,./data/Perfect,"['canadian hip hop', 'pop']"
TOUCH,keshi,./data/TOUCH,"['chill r&b', 'pop']"
GROWING UP IS _____,Ruel,./data/GROWING UP IS _____,"['alt z', 'australian alternative pop', 'dance pop', 'electropop', 'pop']"
London Is Lonely,Holly Humberstone,./data/London Is Lonely,"['alt z', 'indie pop', 'modern alternative pop', 'uk pop']"
Fall in Love with You.,Montell Fish,./data/Fall in Love with You.,['pittsburgh rap']
Peru,Fireboy DML,./data/Peru,[]
When I’m Gone (with Katy Perry),Alesso,./data/When I’m Gone (with Katy Perry),"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']"
Brividi,Mahmood,./data/Brividi,['italian pop']
Sunshine,OneRepublic,./data/Sunshine,"['dance pop', 'piano rock', 'pop', 'pop rock']"
Oh My God,Adele,./data/Oh My God,"['british soul', 'pop', 'pop soul', 'uk pop']"
Follow Me,Sam Feldt,./data/Follow Me,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
Tacones Rojos,Sebastian Yatra,./data/Tacones Rojos,"['colombian pop', 'reggaeton colombiano']"
Livin It Up (with Post Malone & A$AP Rocky),Young Thug,./data/Livin It Up (with Post Malone & A$AP Rocky),"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
Head on Fire,Griff,./data/Head on Fire,"['dance pop', 'pop', 'uk pop']"
I AM WOMAN,Emmy Meli,./data/I AM WOMAN,[]
We Don't Talk About Bruno,Carolina Gaitán - La Gaita,./data/We Don't Talk About Bruno,[]
